SN2005eq 0.028351 47.2055 -7.03325
filter BCSP3014
53650.28575 16.607 0.008
53655.26485 16.576 0.009
53658.2 16.651 0.01
53659.17348 16.679 0.009
53662.25181 16.795 0.009
53663.22112 16.867 0.009
53665.19651 16.999 0.008
53666.25211 17.078 0.007
53669.21862 17.36 0.008
53671.26109 17.563 0.011
53673.26505 17.788 0.011
53675.22876 17.998 0.013
53682.27586 18.648 0.039
53683.22557 18.709 0.017
53687.24087 18.919 0.025
53694.21653 19.348 0.03
53698.16075 19.484 0.023
53699.19015 19.512 0.029
53707.24095 19.717 0.031
53712.16484 19.736 0.031
53721.12859 19.78 0.07
53726.18178 19.847 0.057
53730.18558 19.987 0.031
53737.1494 20.095 0.043
53741.1163 20.105 0.054
53746.13911 20.102 0.076
53751.15038 20.109 0.096
filter VCSP3014
53650.28575 16.521 0.006
53655.26485 16.463 0.008
53658.2 16.491 0.008
53659.17348 16.514 0.009
53662.25181 16.589 0.011
53663.22112 16.639 0.009
53665.19651 16.736 0.008
53666.25211 16.776 0.008
53669.21862 16.948 0.007
53671.26109 17.071 0.009
53673.26505 17.167 0.01
53675.22876 17.271 0.013
53682.27586 17.652 0.042
53683.22557 17.693 0.012
53687.24087 17.868 0.018
53694.21653 18.275 0.016
53698.16075 18.469 0.016
53699.19015 18.526 0.018
53707.24095 18.774 0.021
53712.16484 18.879 0.019
53721.12859 19.071 0.038
53726.18178 19.26 0.028
53730.18558 19.261 0.027
53737.1494 19.457 0.031
53741.1163 19.524 0.03
53746.13911 19.679 0.055
53751.15038 19.664 0.071
filter rCSP3014
53650.28575 16.549 0.006
53655.26485 16.408 0.007
53658.2 16.442 0.007
53659.17348 16.468 0.007
53662.25181 16.577 0.008
53663.22112 16.627 0.009
53665.19651 16.737 0.008
53666.25211 16.795 0.009
53669.21862 16.978 0.007
53671.26109 17.048 0.008
53673.26505 17.101 0.009
53675.22876 17.145 0.01
53682.27586 17.287 0.014
53683.22557 17.298 0.01
53687.24087 17.406 0.012
53694.21653 17.823 0.015
53698.16075 18.011 0.01
53699.19015 18.08 0.014
53707.24095 18.353 0.018
53712.16484 18.493 0.013
53721.12859 18.764 0.023
53726.18178 18.898 0.019
53730.18558 19.062 0.022
53737.1494 19.192 0.02
53741.1163 19.345 0.019
53746.13911 19.459 0.031
53751.15038 19.665 0.057
filter iCSP3014
53650.28575 16.965 0.008
53655.26485 17.032 0.009
53658.2 17.113 0.01
53659.17348 17.152 0.012
53662.25181 17.256 0.011
53663.22112 17.355 0.013
53665.19651 17.471 0.014
53666.25211 17.562 0.014
53669.21862 17.743 0.01
53671.26109 17.786 0.011
53673.26505 17.791 0.014
53675.22876 17.733 0.016
53682.27586 17.659 0.031
53683.22557 17.629 0.014
53687.24087 17.6 0.016
53694.21653 17.946 0.017
53698.16075 18.142 0.013
53699.19015 18.255 0.016
53707.24095 18.592 0.032
53712.16484 18.827 0.02
53721.12859 19.156 0.033
53726.18178 19.337 0.035
53730.18558 19.544 0.042
53737.1494 19.617 0.043
53741.1163 19.756 0.042
53746.13911 19.965 0.058
53751.15038 20.082 0.075
