SN2005A 0.01834 37.6802083333333 -2.93883055555556
filter BCSP3014
53376.13185 18.43 0.013
53377.09801 18.379 0.013
53380.08347 18.336 0.016
53381.07493 18.36 0.014
53383.11942 18.448 0.015
53385.04469 18.519 0.015
53386.08199 18.578 0.015
53387.08538 18.637 0.024
53389.02928 18.851 0.025
53390.02832 18.939 0.03
53391.10361 19.016 0.037
53394.05488 19.433 0.052
53396.03188 19.689 0.05
53397.02992 19.809 0.051
53398.0519 19.766 0.046
53399.06576 19.909 0.032
53400.08361 19.916 0.032
53404.07448 20.304 0.028
53406.08539 20.36 0.051
53408.06299 20.64 0.046
53409.05982 20.707 0.056
53410.04194 20.737 0.038
filter VCSP3014
53376.13185 17.459 0.01
53377.09801 17.38 0.01
53380.08347 17.334 0.011
53381.07493 17.301 0.011
53383.11942 17.309 0.009
53385.04469 17.351 0.009
53386.08199 17.422 0.012
53387.08538 17.469 0.013
53389.02928 17.569 0.015
53390.02832 17.616 0.017
53391.10361 17.71 0.018
53396.03188 18.004 0.016
53397.02992 18.075 0.016
53398.0519 18.099 0.019
53399.06576 18.156 0.014
53400.08361 18.209 0.017
53404.07448 18.388 0.016
53406.08539 18.569 0.02
53407.05149 18.639 0.02
53408.06299 18.735 0.02
53409.05982 18.813 0.022
53410.04194 18.87 0.018
53411.06691 18.925 0.033
53412.05608 19.002 0.026
53414.06343 19.096 0.026
53415.06288 19.036 0.023
53416.05979 19.212 0.03
53418.03545 19.295 0.059
53420.0513 19.424 0.07
53429.03409 19.628 0.029
53432.00493 19.618 0.084
filter rCSP3014
53376.13185 16.974 0.009
53377.09801 16.922 0.008
53380.08347 16.827 0.01
53381.07493 16.833 0.009
53383.11942 16.868 0.009
53385.04469 16.916 0.007
53386.08199 16.978 0.013
53387.08538 17.057 0.009
53389.02928 17.19 0.013
53390.02832 17.269 0.01
53391.10361 17.3 0.01
53396.03188 17.423 0.011
53397.02992 17.428 0.009
53398.0519 17.423 0.012
53399.06576 17.435 0.009
53400.08361 17.431 0.01
53404.07448 17.567 0.009
53406.08539 17.698 0.01
53407.05149 17.774 0.016
53408.06299 17.851 0.012
53409.05982 17.956 0.01
53410.04194 18.023 0.015
53411.06691 18.079 0.013
53412.05608 18.172 0.013
53413.05549 18.244 0.025
53414.06343 18.265 0.015
53415.06288 18.271 0.015
53416.05979 18.36 0.015
53418.03545 18.44 0.012
53420.0513 18.49 0.018
53421.02942 18.588 0.056
53425.05069 18.668 0.028
53427.05339 18.836 0.045
53429.03409 18.807 0.017
53432.00493 18.884 0.016
filter iCSP3014
53376.13185 17.171 0.01
53377.09801 17.197 0.01
53380.08347 17.193 0.013
53381.07493 17.226 0.011
53383.11942 17.251 0.013
53385.04469 17.32 0.01
53386.08199 17.36 0.013
53387.08538 17.458 0.013
53389.02928 17.611 0.017
53390.02832 17.652 0.012
53391.10361 17.683 0.015
53396.03188 17.574 0.012
53397.02992 17.547 0.01
53398.0519 17.537 0.011
53399.06576 17.495 0.011
53400.08361 17.47 0.011
53404.07448 17.377 0.01
53406.08539 17.398 0.011
53407.05149 17.454 0.011
53408.06299 17.523 0.012
53409.05982 17.607 0.014
53410.04194 17.719 0.015
53411.06691 17.745 0.014
53412.05608 17.872 0.014
53413.05549 17.875 0.022
53414.06343 17.989 0.015
53415.06288 18.054 0.015
53416.05979 18.099 0.018
53418.03545 18.188 0.02
53420.0513 18.224 0.019
53421.02942 18.388 0.046
53425.05069 18.519 0.03
53427.05339 18.603 0.035
53429.03409 18.64 0.023
53432.00493 18.763 0.018
