SN2006os 0.032081 43.7545833333333 16.0097
filter B
54066.17714 18.202 0.012
54069.1081 18.299 0.018
54073.13417 18.654 0.053
54075.13391 18.868 0.041
54080.14859 19.459 0.027
54084.1088 19.916 0.034
54087.08792 20.231 0.038
54091.0872 20.6 0.067
54096.0626 20.679 0.089
54105.08807 21.343 0.199
54108.09927 21.445 0.115
54121.09785 21.904 0.155
filter V
54066.17714 17.766 0.009
54069.1081 17.802 0.012
54073.13417 17.957 0.022
54075.13391 18.122 0.019
54080.14859 18.401 0.013
54084.1088 18.685 0.016
54087.08792 18.847 0.016
54091.0872 19.123 0.02
54096.0626 19.434 0.041
54105.08807 19.793 0.051
54108.09927 19.895 0.031
54121.09785 20.21 0.041
54128.05898 20.469 0.106
54133.05395 20.528 0.192
filter r
54066.17714 17.487 0.007
54069.1081 17.525 0.01
54073.13417 17.702 0.016
54075.13391 17.833 0.012
54080.14859 18.06 0.01
54084.1088 18.156 0.011
54087.08792 18.223 0.012
54091.0872 18.416 0.012
54096.0626 18.773 0.017
54105.08807 19.174 0.021
54108.09927 19.346 0.015
54121.09785 19.69 0.023
54128.05898 20.046 0.052
54133.05395 20.178 0.075
filter i
54066.17714 17.877 0.012
54069.1081 17.909 0.014
54073.13417 18.151 0.027
54075.13391 18.295 0.021
54080.14859 18.384 0.018
54084.1088 18.319 0.017
54087.08792 18.271 0.017
54091.0872 18.272 0.015
54096.0626 18.523 0.03
54105.08807 19.126 0.025
54108.09927 19.272 0.028
54121.09785 19.79 0.048
54128.05898 20.005 0.071
54133.05395 20.349 0.112
