SN2007hx 0.078873 31.6127916666667 0.899527777777778
filter B
54354.24017 19.415 0.016
54357.32089 19.537 0.029
54359.27034 19.477 0.068
54363.17913 19.897 0.042
54365.27044 19.985 0.042
54376.18837 21.344 0.074
54378.28884 21.609 0.111
54380.27722 21.656 0.071
54383.19164 21.841 0.108
54392.2408 22.07 0.163
54403.23056 22.131 0.304
54411.19282 22.583 0.18
filter V
54354.24017 19.169 0.012
54357.32089 19.176 0.022
54359.27034 19.163 0.054
54363.17913 19.45 0.03
54365.27044 19.465 0.03
54376.18837 20.174 0.031
54378.28884 20.284 0.054
54380.27722 20.576 0.053
54383.19164 20.718 0.06
54392.2408 21.11 0.099
54403.23056 21.64 0.218
54411.19282 21.591 0.108
filter r
54354.24017 19.053 0.011
54357.32089 19.055 0.017
54359.27034 19.118 0.067
54363.17913 19.296 0.017
54365.27044 19.385 0.022
54376.18837 19.875 0.027
54378.28884 19.957 0.033
54380.27722 20.051 0.031
54383.19164 20.202 0.034
54392.2408 20.643 0.058
54395.28436 20.661 0.301
54403.23056 21.106 0.111
54411.19282 21.269 0.064
filter i
54354.24017 19.386 0.024
54357.32089 19.393 0.035
54359.27034 19.516 0.107
54363.17913 19.685 0.03
54365.27044 19.838 0.046
54376.18837 20.017 0.043
54378.28884 20.032 0.041
54380.27722 19.859 0.043
54383.19164 19.876 0.048
54392.2408 20.418 0.072
54395.28436 20.534 0.439
54403.23056 20.84 0.129
54411.19282 21.278 0.119
