SN2006eq 0.048358 322.155 1.22811111111111
filter B
53981.12415 18.852 0.021
53983.02296 18.995 0.055
53986.1059 19.477 0.084
53988.04737 19.723 0.039
53991.10144 20.235 0.038
53994.02586 20.542 0.036
53998.01415 21.032 0.1
54000.98853 21.295 0.06
54003.00234 21.332 0.104
54007.02177 21.59 0.086
54007.99168 21.467 0.109
54017.99887 21.661 0.092
54022.99314 21.736 0.055
54023.9844 21.674 0.093
filter V
53981.12415 18.45 0.016
53983.02296 18.513 0.054
53986.1059 18.707 0.038
53988.04737 18.852 0.018
53991.10144 19.144 0.018
53994.02586 19.476 0.02
53998.01415 19.756 0.036
54000.98853 20.043 0.034
54003.00234 20.215 0.034
54007.02177 20.503 0.051
54012.98705 20.624 0.227
54014.08557 20.545 0.267
54017.99887 20.852 0.056
54022.00127 20.977 0.049
54023.9844 21.108 0.053
54028.99123 21.002 0.159
filter r
53981.12415 18.282 0.011
53983.02296 18.306 0.022
53986.1059 18.466 0.022
53988.04737 18.58 0.016
53991.10144 18.783 0.015
53994.02586 18.948 0.013
53998.01415 19.21 0.028
54000.98853 19.413 0.019
54003.00234 19.589 0.02
54007.02177 19.924 0.024
54007.99168 19.931 0.028
54012.98705 20.325 0.113
54014.08557 20.192 0.104
54017.99887 20.401 0.041
54022.99314 20.476 0.028
54023.9844 20.566 0.039
54028.99123 20.733 0.048
54042.0521 21.023 0.145
filter i
53981.12415 18.647 0.018
53983.02296 18.61 0.037
53986.1059 18.905 0.036
53988.04737 19.048 0.021
53991.10144 19.025 0.025
53994.02586 19.015 0.02
53998.01415 19.102 0.037
54000.98853 19.258 0.026
54003.00234 19.411 0.028
54007.02177 19.79 0.04
54007.99168 19.839 0.038
54012.98705 20.053 0.104
54014.08557 20.085 0.127
54017.99887 20.442 0.057
54022.99314 20.515 0.056
54023.9844 20.56 0.043
54028.99123 20.876 0.086
54042.0521 21.122 0.18
