SN2007nq 0.043904 14.3899166666667 -1.38861111111111
filter u
54397.13446 18.079 0.03
54407.23219 19.454 0.094
54409.12561 19.583 0.049
54411.09982 20.01 0.058
54413.10992 20.451 0.122
54421.10626 21.398 0.271
54435.05042 21.845 0.242
54440.07972 21.859 0.248
54445.10191 21.901 0.387
filter B
54397.13446 17.557 0.014
54400.14849 17.587 0.017
54403.08494 17.732 0.009
54407.23219 18.162 0.015
54409.12561 18.418 0.014
54411.09982 18.728 0.013
54413.10992 19.015 0.02
54421.10626 20.056 0.036
54422.11976 20.079 0.05
54423.09889 20.245 0.065
54427.15074 20.645 0.195
54430.10514 20.763 0.176
54435.05042 20.723 0.044
54440.07972 20.931 0.05
54443.14595 20.866 0.077
54445.10191 20.957 0.059
54449.07043 21.084 0.09
54455.05647 21.199 0.218
54456.06093 20.995 0.216
54457.04892 20.968 0.174
54466.05095 21.237 0.07
54468.0534 21.298 0.076
54472.02757 21.305 0.087
54476.05109 21.391 0.138
filter V
54397.13446 17.493 0.015
54400.14849 17.463 0.013
54403.08494 17.552 0.009
54407.23219 17.779 0.011
54409.12561 17.92 0.013
54411.09982 18.071 0.011
54413.10992 18.231 0.014
54421.10626 18.962 0.02
54422.11976 19.057 0.024
54423.09889 19.101 0.027
54427.15074 19.34 0.051
54430.10514 19.532 0.048
54435.05042 19.787 0.022
54440.07972 19.916 0.027
54443.14595 20.033 0.038
54445.10191 20.07 0.027
54449.07043 20.195 0.049
54456.06093 20.317 0.106
54457.04892 20.376 0.119
54466.05095 20.573 0.039
54468.0534 20.568 0.045
54472.02757 20.615 0.053
54476.05109 20.745 0.064
filter g
54397.13446 17.428 0.013
54400.14849 17.413 0.01
54403.08494 17.561 0.007
54407.23219 17.921 0.008
54409.12561 18.105 0.01
54411.09982 18.376 0.009
54413.10992 18.648 0.011
54421.10626 19.597 0.023
54422.11976 19.736 0.029
54423.09889 19.839 0.034
54427.15074 20.053 0.084
54430.10514 20.235 0.072
54435.05042 20.355 0.024
54440.07972 20.42 0.145
54443.14595 20.525 0.042
54445.10191 20.626 0.03
54449.07043 20.674 0.043
54455.05647 20.739 0.11
54456.06093 20.751 0.117
54457.04892 20.739 0.116
54458.02526 20.896 0.126
54466.05095 20.893 0.046
54468.0534 20.935 0.045
54472.02757 20.892 0.172
54476.05109 21.053 0.058
filter r
54397.13446 17.485 0.013
54400.14849 17.443 0.01
54403.08494 17.509 0.009
54407.23219 17.777 0.008
54409.12561 17.9 0.012
54411.09982 18.005 0.01
54413.10992 18.056 0.009
54421.10626 18.45 0.012
54422.11976 18.546 0.013
54423.09889 18.608 0.014
54427.15074 18.951 0.03
54430.10514 19.14 0.026
54435.05042 19.338 0.015
54440.07972 19.469 0.018
54443.14595 19.613 0.03
54445.10191 19.645 0.019
54449.07043 19.813 0.032
54455.05647 19.999 0.059
54456.06093 19.988 0.061
54457.04892 19.989 0.056
54458.02526 20.008 0.049
54466.05095 20.359 0.034
54468.0534 20.404 0.036
54472.02757 20.382 0.065
54476.05109 20.632 0.045
filter i
54397.13446 17.935 0.018
54400.14849 17.964 0.017
54403.08494 18.047 0.013
54407.23219 18.465 0.016
54409.12561 18.576 0.019
54411.09982 18.605 0.017
54413.10992 18.497 0.02
54421.10626 18.448 0.016
54422.11976 18.506 0.018
54423.09889 18.644 0.022
54427.15074 18.924 0.035
54430.10514 19.11 0.029
54435.05042 19.438 0.029
54440.07972 19.73 0.032
54443.14595 19.819 0.06
54445.10191 19.844 0.035
54449.07043 20.001 0.037
54455.05647 20.335 0.105
54456.06093 20.33 0.081
54457.04892 20.282 0.087
54458.02526 20.318 0.078
54466.05095 20.696 0.07
54468.0534 20.662 0.072
54472.02757 21.009 0.142
54476.05109 21.139 0.117
filter Y
54399.17893 17.896 0.052
54402.17432 18.053 0.035
54408.24443 18.301 0.118
54410.16276 18.258 0.062
54412.1547 18.16 0.056
54415.18464 17.974 0.038
54421.10626 17.662 0.016
54424.16767 17.733 0.097
54427.15074 17.966 0.022
54431.13149 18.17 0.053
54437.1444 18.56 0.056
54439.15571 18.651 0.051
54442.1536 18.922 0.074
54444.14744 18.809 0.058
54448.10686 19.223 0.136
54457.04892 19.617 0.088
54458.02526 19.644 0.025
54465.06732 19.743 0.07
54467.07553 20.088 0.064
filter J
54399.17893 17.893 0.137
54402.17432 18.233 0.074
54412.1547 19.122 0.21
54415.18464 18.96 0.223
54421.10626 18.488 0.047
54424.16767 18.444 0.15
54427.15074 18.92 0.043
54431.13149 19.066 0.187
54457.04892 21.006 0.229
54458.02526 21.322 0.191
filter H
54399.17893 17.637 0.204
54402.17432 18.198 0.154
54421.10626 18.118 0.065
54427.15074 18.709 0.102
