SN2008C 0.017067 104.298 20.4371
filter u
54469.30411 16.948 0.045
54470.16674 17.049 0.05
54475.14676 17.422 0.036
54476.16038 17.599 0.021
54478.15296 17.891 0.028
54480.15306 18.228 0.056
54484.10341 18.461 0.155
54488.145 19.108 0.404
54492.12974 19.482 0.216
54497.12174 20.058 0.461
filter B
54469.30411 15.996 0.009
54470.16674 16.058 0.008
54475.14676 16.412 0.01
54476.16038 16.511 0.011
54478.15296 16.736 0.011
54480.15306 16.963 0.013
54484.10341 17.423 0.029
54488.145 17.839 0.059
54492.12974 18.148 0.035
54497.12174 18.683 0.057
54499.10829 19.045 0.096
54517.07521 19.102 0.168
54521.07405 19.36 0.112
54523.05138 19.53 0.118
54527.04495 19.414 0.092
54532.03863 19.39 0.058
54541.07968 19.677 0.132
54543.0214 19.079 0.082
54545.00328 19.393 0.084
54546.99601 19.617 0.091
54551.99491 19.713 0.079
filter V
54469.30411 15.791 0.007
54470.16674 15.793 0.008
54475.14676 15.929 0.008
54476.16038 16.003 0.009
54478.15296 16.115 0.008
54480.15306 16.294 0.01
54484.10341 16.524 0.017
54488.145 16.852 0.035
54492.12974 17.044 0.013
54497.12174 17.196 0.021
54499.10829 17.26 0.025
54521.07405 18.272 0.044
54523.05138 18.381 0.043
54532.03863 18.504 0.032
54543.0214 18.257 0.048
54545.00328 18.654 0.043
54546.99601 19.061 0.081
54551.99491 19.028 0.044
filter g
54469.30411 15.817 0.01
54470.16674 15.88 0.006
54475.14676 16.139 0.007
54476.16038 16.179 0.009
54478.15296 16.361 0.007
54480.15306 16.62 0.011
54484.10341 16.849 0.021
54492.12974 17.713 0.013
54497.12174 18.107 0.02
54499.10829 18.243 0.023
54517.07521 18.598 0.077
54527.04495 18.866 0.034
54532.03863 18.907 0.025
54541.07968 18.824 0.055
54543.0214 18.435 0.053
54545.00328 18.848 0.04
54546.99601 19.285 0.071
54551.99491 19.083 0.026
54557.9773 18.679 0.091
filter r
54469.30411 15.7 0.008
54470.16674 15.704 0.008
54475.14676 15.804 0.013
54476.16038 16.029 0.019
54478.15296 16.106 0.01
54480.15306 16.245 0.012
54484.10341 16.284 0.011
54488.145 16.277 0.02
54492.12974 16.554 0.012
54497.12174 16.841 0.012
54499.10829 17.168 0.023
54517.07521 18.015 0.065
54521.07405 17.981 0.033
54523.05138 17.951 0.025
54527.04495 17.922 0.027
54532.03863 18.234 0.028
54541.07968 18.006 0.05
54543.0214 18.356 0.04
54545.00328 18.832 0.095
54546.99601 18.617 0.035
54551.99491 18.632 0.029
filter i
54469.30411 16.266 0.011
54470.16674 16.288 0.014
54475.14676 16.554 0.018
54476.16038 16.591 0.02
54478.15296 16.802 0.025
54480.15306 16.85 0.018
54484.10341 16.636 0.021
54488.145 16.559 0.022
54492.12974 16.621 0.014
54497.12174 16.736 0.016
54499.10829 16.938 0.018
54521.07405 17.991 0.042
54523.05138 17.998 0.04
54527.04495 18.333 0.055
54532.03863 18.298 0.037
54543.0214 18.965 0.082
54545.00328 18.614 0.046
54546.99601 18.865 0.055
54551.99491 19.195 0.08
filter Y
54471.20554 16.761 0.123
54473.20094 16.98 0.059
54477.16657 17.224 0.082
54479.14747 16.877 0.039
54485.18108 16.523 0.048
54489.14611 16.282 0.029
54492.12974 16.067 0.008
54495.14589 15.832 0.013
54503.12439 16.402 0.093
54511.06036 16.918 0.042
54518.07516 17.738 0.182
54524.05675 18.16 0.162
54530.04704 18.176 0.125
54549.03298 18.559 0.096
54555.02693 19.339 0.106
filter J
54471.20554 16.474 0.029
54473.20094 16.618 0.168
54477.16657 17.205 0.127
54479.14747 17.41 0.07
54485.18108 17.316 0.138
54489.14611 17.122 0.229
54492.12974 17.061 0.014
54495.14589 16.868 0.009
54503.12439 16.999 0.088
54511.06036 17.695 0.352
54518.07516 18.553 0.338
54549.03298 19.919 0.112
54555.02693 19.792 0.112
filter H
54471.20554 16.494 0.034
54473.20094 16.637 0.293
54477.16657 16.611 0.171
54479.14747 16.75 0.207
54485.18108 16.447 0.034
54489.14611 16.413 0.087
54492.12974 16.154 0.088
54495.14589 16.24 0.007
54503.12439 16.892 0.073
54511.06036 17.301 0.113
54518.07516 17.74 0.202
54524.05675 18.123 0.328
54530.04704 17.902 0.497
54536.08951 18.643 0.366
54544.11269 18.212 0.219
54549.03298 18.636 0.111
54555.02693 19.363 0.121
54561.06067 18.602 0.33
filter K
54495.14589 18.941 0.017
