SN2005be 0.0356 224.886 16.6699
filter u
53467.36728 18.298 0.021
53468.33561 18.414 0.018
53472.27353 19.078 0.023
53473.28836 19.288 0.03
53475.25522 19.535 0.037
53476.26057 19.75 0.042
53477.2938 19.961 0.043
53481.25057 20.162 0.096
53483.27782 20.456 0.214
filter B
53467.36728 17.452 0.017
53468.33561 17.541 0.017
53472.27353 18.042 0.017
53473.28836 18.194 0.017
53475.25522 18.487 0.017
53476.26057 18.628 0.017
53477.2938 18.791 0.017
53481.25057 19.224 0.021
53483.27782 19.48 0.049
53484.25873 19.503 0.14
53489.23401 19.855 0.073
53490.25303 19.987 0.035
53491.25813 20.03 0.032
filter V
53467.36728 17.177 0.017
53468.33561 17.242 0.017
53472.27353 17.523 0.017
53473.28836 17.604 0.017
53475.25522 17.738 0.017
53476.26057 17.846 0.017
53477.2938 17.918 0.017
53481.25057 18.235 0.017
53483.27782 18.462 0.026
53484.25873 18.478 0.048
53489.23401 18.895 0.034
53490.25303 18.983 0.017
53491.25813 19.028 0.017
filter g
53467.36728 17.243 0.017
53468.33561 17.311 0.017
53472.27353 17.732 0.017
53473.28836 17.855 0.017
53475.25522 18.096 0.017
53476.26057 18.248 0.017
53477.2938 18.368 0.017
53481.25057 18.852 0.017
53483.27782 19.036 0.031
53489.23401 19.482 0.03
53490.25303 19.584 0.018
53491.25813 19.594 0.017
filter r
53467.36728 17.175 0.017
53468.33561 17.255 0.017
53472.27353 17.532 0.017
53473.28836 17.565 0.017
53475.25522 17.629 0.017
53476.26057 17.639 0.017
53477.2938 17.669 0.017
53481.25057 17.833 0.017
53483.27782 17.993 0.017
53489.23401 18.49 0.017
53490.25303 18.534 0.017
53491.25813 18.58 0.017
filter i
53467.36728 17.87 0.017
53468.33561 17.98 0.017
53472.27353 18.213 0.017
53473.28836 18.207 0.017
53475.25522 18.161 0.017
53476.26057 18.121 0.017
53477.2938 18.083 0.017
53481.25057 17.998 0.017
53483.27782 18.031 0.017
53489.23401 18.555 0.017
53490.25303 18.632 0.017
53491.25813 18.703 0.019
