SN2008gp 0.032824 50.753 1.36188888888889
filter u
54772.27173 17.552 0.012
54776.21065 17.289 0.01
54779.25623 17.327 0.013
54781.23821 17.461 0.015
54783.22545 17.683 0.021
54790.22391 18.493 0.018
54801.26446 20.059 0.048
54802.21004 20.139 0.045
54806.21799 20.533 0.084
54808.22362 20.541 0.088
54810.19611 20.553 0.192
54813.1172 20.805 0.204
filter B
54768.24059 18.008 0.011
54770.236 17.566 0.009
54772.27173 17.251 0.008
54776.21065 16.957 0.007
54779.25623 16.929 0.01
54781.23821 16.961 0.011
54783.22545 17.025 0.011
54786.32834 17.19 0.011
54790.22391 17.529 0.009
54792.17523 17.753 0.01
54793.19285 17.869 0.011
54795.22421 18.134 0.013
54801.26446 18.855 0.016
54802.21004 18.923 0.015
54803.2858 19.023 0.019
54806.21799 19.323 0.022
54808.22362 19.5 0.028
54809.18593 19.534 0.041
54810.19611 19.572 0.068
54813.1172 19.906 0.084
filter V
54768.24059 17.86 0.012
54770.236 17.449 0.008
54772.27173 17.151 0.009
54776.21065 16.874 0.006
54779.25623 16.806 0.01
54781.23821 16.823 0.011
54783.22545 16.862 0.012
54786.32834 16.926 0.01
54790.22391 17.139 0.009
54792.17523 17.254 0.009
54793.19285 17.324 0.009
54795.22421 17.461 0.013
54801.26446 17.844 0.012
54802.21004 17.908 0.011
54803.2858 17.96 0.012
54806.21799 18.18 0.012
54808.22362 18.292 0.014
54809.18593 18.388 0.019
54810.19611 18.404 0.024
54813.1172 18.593 0.03
filter g
54772.27173 17.103 0.007
54776.21065 16.797 0.006
54779.25623 16.754 0.009
54781.23821 16.773 0.011
54783.22545 16.855 0.011
54786.32834 16.997 0.008
54790.22391 17.247 0.009
54792.17523 17.425 0.009
54801.26446 18.346 0.009
54802.21004 18.429 0.01
54803.2858 18.545 0.011
54806.21799 18.805 0.013
54808.22362 18.961 0.017
54809.18593 19.035 0.028
54810.19611 19.123 0.034
54813.1172 19.317 0.041
filter r
54768.24059 17.898 0.013
54772.27173 17.181 0.007
54776.21065 16.9 0.006
54779.25623 16.801 0.011
54781.23821 16.813 0.011
54783.22545 16.826 0.01
54786.32834 16.937 0.009
54790.22391 17.171 0.01
54792.17523 17.302 0.008
54793.19285 17.356 0.008
54795.22421 17.425 0.013
54801.26446 17.583 0.009
54802.21004 17.596 0.009
54803.2858 17.607 0.008
54806.21799 17.734 0.009
54808.22362 17.804 0.01
54809.18593 17.867 0.011
54810.19611 17.929 0.015
54813.1172 18.101 0.015
filter i
54768.24059 18.117 0.015
54772.27173 17.406 0.01
54776.21065 17.279 0.009
54779.25623 17.353 0.012
54781.23821 17.408 0.014
54783.22545 17.412 0.019
54786.32834 17.547 0.013
54790.22391 17.898 0.013
54792.17523 18.029 0.013
54793.19285 18.013 0.014
54795.22421 18.057 0.018
54801.26446 17.939 0.014
54802.21004 17.944 0.013
54803.2858 17.875 0.013
54806.21799 17.883 0.013
54808.22362 17.912 0.012
54809.18593 17.922 0.013
54810.19611 17.98 0.018
54813.1172 18.105 0.015
filter Y
54769.31849 17.623 0.069
54771.27102 17.348 0.017
54778.29095 17.341 0.016
54780.24307 17.498 0.02
54784.23447 17.76 0.028
54791.24081 17.926 0.02
54794.23462 17.827 0.038
54800.22505 17.544 0.051
54812.0914 17.11 0.015
54822.1422 17.611 0.022
filter J
54769.31849 17.651 0.056
54771.27102 17.428 0.028
54778.29095 17.743 0.073
54780.24307 17.488 0.084
54784.23447 17.726 0.037
54791.24081 18.778 0.099
54794.23462 18.698 0.097
54800.22505 18.832 0.114
54812.0914 18.216 0.079
54822.1422 19.087 0.123
54844.01149 20.306 0.095
filter H
54769.31849 17.557 0.099
54771.27102 17.628 0.067
54780.24307 17.535 0.115
54784.23447 18.025 0.112
54791.24081 18.02 0.155
54794.23462 17.905 0.189
54800.22505 17.892 0.155
54812.0914 17.726 0.101
54822.1422 18.16 0.123
